,circularity,edge_sharp_mean,edge_sharp_std,iMax_Variance_uptake,iiMin_change_Variance_uptake,iiiMax_Margin_Gradient,irregularity,ivVariance,k_Max_Margin_Grad,kurt_F_r_i,max_F_r_i,max_RGH_mean,max_RGH_mean_k,max_RGH_var,max_RGH_var_k,mean_F_r_i,min_F_r_i,skew_F_r_i,var_F_r_i
0,0.8557285013,-1.1655053508,0.9688107616,7.8492788588,0.1274002387,0.1121478367,0.9111552768,0.0109365596,1.0000000000,0.0176476990,685.5000000000,0.5802811329,1.0000000000,0.0860942568,2.0000000000,486.9731903485,325.0000000000,0.4234366364,5293.4167315287
0,0.8557165756,-0.1811565031,0.9171387464,5.2592154288,0.2338164360,0.0818557326,0.8979119566,0.0062162359,1.0000000000,-1.1154511886,781.0000000000,0.5241689482,1.0000000000,0.0843040742,1.0000000000,629.9183673469,434.2500000000,-0.2823505751,10452.9009353741
0,0.8557350110,0.7447177212,0.7809949962,4.9111236322,0.2036193904,0.1165301896,0.9273538870,0.0163896422,1.0000000000,1.2241808489,1280.2500000000,0.6361618012,1.0000000000,0.0777986506,2.0000000000,720.7999058380,277.7500000000,0.8008570202,23024.8096246656
0,0.8557334051,0.7521635587,0.9153710058,1.8255005262,0.7645130701,0.0951409638,0.9726000152,0.0086847387,1.0000000000,-0.0472823768,826.7500000000,0.4673889578,4.0000000000,0.0810606129,2.0000000000,555.0938956198,323.2500000000,0.2107328915,6575.7135563735
0,0.8557343175,-0.2896593265,0.9173764883,3.9332673840,0.3668926317,0.0928968732,0.9611892404,0.0087904957,2.0000000000,2.3094744511,1342.0000000000,0.5190938254,4.0000000000,0.0846295902,1.0000000000,733.3626010287,415.2500000000,0.8607562657,17582.6286378420
0,0.8557360422,0.5396100854,0.8864685295,12.5786917240,0.0917979218,0.1207215686,0.9626200125,0.0156303650,3.0000000000,-0.2628474915,1519.0000000000,0.5433294718,1.0000000000,0.0861270809,3.0000000000,820.9317606080,252.0000000000,0.3874256799,64682.0972162356
0,0.8557333107,5.9664878643,1.0167066239,5.4856324362,0.1822943866,0.1937293040,0.9041756784,0.0387400307,1.0000000000,-0.4679934665,897.0000000000,0.6213856591,1.0000000000,0.0800526276,4.0000000000,651.3092705167,326.0000000000,-0.2347924787,13810.7523363081
0,0.8557220778,-0.4968645795,0.9796997239,13.1761780934,0.1188584595,0.1124688998,0.8532206659,0.0227353640,3.0000000000,-0.7354560472,1195.2500000000,0.5589596370,1.0000000000,0.0632591487,1.0000000000,939.2719780220,702.5000000000,0.2733368130,12512.3619572829
0,0.8557343905,-0.0595501706,0.9797280933,7.4880266319,0.1335465336,0.1887917452,0.9653500919,0.0364030641,1.0000000000,-0.8367278780,840.2500000000,0.5335052594,2.0000000000,0.0886672411,2.0000000000,515.7616429495,183.7500000000,-0.0778649437,21709.8333598657
0,0.8557328035,-0.1384152573,0.9496446702,2.4138866684,0.6362809250,0.0982075906,0.9658765354,0.0088651486,1.0000000000,-0.2008837139,1400.5000000000,0.5891072731,1.0000000000,0.0843938546,2.0000000000,879.1418859649,379.5000000000,0.0887976886,29366.9658855490
0,0.8557353801,-0.1847381053,0.9240733126,3.7640557588,0.4587807538,0.1010872668,0.9649632812,0.0098717238,4.0000000000,-0.0767930841,1764.7500000000,0.5603688182,1.0000000000,0.0858125322,2.0000000000,1141.3766761479,607.5000000000,0.2621846547,37746.8020393752
0,0.8557363696,-0.5405532423,0.9278243512,6.7012442612,0.1592695901,0.0828377827,0.9763564812,0.0078100640,1.0000000000,0.0073893559,874.5000000000,0.5694755106,4.0000000000,0.0856224648,4.0000000000,611.7076393917,395.5000000000,0.2343466637,6146.6866527842
0,0.8553298760,-0.0763669891,0.9635338940,2.7016476738,0.3701444899,0.0431892244,0.7238484531,0.0018461497,1.0000000000,0.5255534572,479.7500000000,0.4938497695,4.0000000000,0.0834867215,1.0000000000,426.1562500000,355.2500000000,-0.2739840169,686.1699911348
0,0.8557362332,-0.2364092469,1.0606589255,3.6740860417,0.4804788463,0.1056956146,0.9816668797,0.0116380451,1.0000000000,0.1748840037,1651.5000000000,0.4927699585,1.0000000000,0.0780870543,4.0000000000,977.1862626165,267.2500000000,0.0969081339,42374.7764292194
0,0.8557141013,-0.3059519435,0.9082027989,4.0196368543,0.4913087728,0.0788208781,0.8691531526,0.0096806439,4.0000000000,-0.7937994945,910.2500000000,0.5768276147,1.0000000000,0.0954500869,4.0000000000,740.1237113402,545.2500000000,-0.1913856891,9226.3792955326
0,0.8552214904,-0.1122447422,0.9297352017,2.6212761973,0.4565699222,0.0568127810,0.5485945207,0.0030759825,4.0000000000,-1.1718909427,652.7500000000,0.3478504654,4.0000000000,0.0775345248,4.0000000000,518.7500000000,412.7500000000,0.2447250310,5731.4891666667
0,0.8557355639,-1.0260465365,0.9708593947,3.8284750713,0.2701777025,0.0964786051,0.9639968285,0.0113536263,1.0000000000,-0.4660389472,1088.5000000000,0.5159480149,1.0000000000,0.0837823658,1.0000000000,666.8699721227,313.2500000000,0.3369112106,21268.7845272038
0,0.8557063764,-1.0621393435,1.0228141098,3.0534185955,0.4203485761,0.1060138231,0.7944567276,0.0078342566,1.0000000000,-0.6648242243,717.7500000000,0.6676819210,2.0000000000,0.0688098900,1.0000000000,557.1843750000,360.2500000000,-0.1505401517,7479.7289161392
