,V0,V1,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V2,V3,V4,V5,V6,V7,V8,V9,dce2SE0,dce2SE1,dce2SE10,dce2SE11,dce2SE12,dce2SE13,dce2SE14,dce2SE15,dce2SE16,dce2SE17,dce2SE18,dce2SE19,dce2SE2,dce2SE3,dce2SE4,dce2SE5,dce2SE6,dce2SE7,dce2SE8,dce2SE9,dce3SE0,dce3SE1,dce3SE10,dce3SE11,dce3SE12,dce3SE13,dce3SE14,dce3SE15,dce3SE16,dce3SE17,dce3SE18,dce3SE19,dce3SE2,dce3SE3,dce3SE4,dce3SE5,dce3SE6,dce3SE7,dce3SE8,dce3SE9,earlySE0,earlySE1,earlySE10,earlySE11,earlySE12,earlySE13,earlySE14,earlySE15,earlySE16,earlySE17,earlySE18,earlySE19,earlySE2,earlySE3,earlySE4,earlySE5,earlySE6,earlySE7,earlySE8,earlySE9,lateSE0,lateSE1,lateSE10,lateSE11,lateSE12,lateSE13,lateSE14,lateSE15,lateSE16,lateSE17,lateSE18,lateSE19,lateSE2,lateSE3,lateSE4,lateSE5,lateSE6,lateSE7,lateSE8,lateSE9
0,14.2203038299,16.0121481660,28.5863275886,15.4254694989,12.3331844232,17.1941385361,22.4322628755,17.8267913489,15.7064962292,24.6447300267,4.1162941526,18.0105231395,9.2189016780,4.5173277499,5.1646501441,11.8924415414,12.7515332411,7.1335939936,20.8458120928,4.4473401849,1.8375136314,2.7883211679,1.6431216178,1.8580132177,2.3682658805,2.0653759568,2.0041212329,1.9696590252,1.9967847957,1.9939241567,2.0811638591,2.3804905876,2.0539092055,2.1093892434,1.7086725110,2.1467707946,2.2560459492,2.4387527840,2.5457656116,1.8318395220,2.1302666799,3.1788321168,1.5546852749,1.9621024370,2.5416778344,2.1431787483,1.9803382845,2.1848391447,2.1313232352,1.9809344228,2.2006125574,2.4468054763,2.1212168979,2.1823154057,1.7330932999,2.5197719103,2.3948004837,2.6258351893,2.5880239521,2.0446009390,1.6502428869,2.5693430657,1.4935915694,1.6826724494,1.9855266685,2.2150382710,1.8178071606,1.7898285494,1.6393969706,1.7454431175,1.6901480347,2.0430690245,1.7671815889,1.5123062899,1.5876643707,2.0881368538,1.8621523579,1.9269082810,2.5544910180,1.6346564234,2.2260335085,3.0620437956,1.5703503275,1.9570425444,2.5875100509,1.9204862674,1.9296814630,2.2517819303,2.2489997142,2.0695579300,2.1444614599,2.4063034797,2.2397540984,2.1832269827,1.8382905448,2.4755175406,2.2179564692,2.4259971654,2.1741659538,1.9596670935
0,9.2060515446,6.5586583994,47.6021730071,17.2306712071,36.7898350903,26.5894716006,89.3166837718,21.1723301028,8.9208662160,24.7634020330,17.3140391462,89.8276126812,13.1846846618,5.9544153352,13.9859396851,41.1845674378,89.5085346645,29.5732300719,8.4760365305,16.7915690191,1.1551858014,1.0742038217,0.9479130130,1.1561505336,0.8557545148,1.5274725275,0.8416845988,1.0489888424,1.3872511968,1.1843137255,0.9536210051,0.9761092150,0.9424000000,1.4096183754,0.9802548663,0.8989745286,1.4609791566,1.0921946941,1.2192160943,0.9442329654,1.2982806434,1.2613057325,1.0908453174,1.3276539974,1.0134680135,1.7252747253,1.0494927759,1.2676952580,1.5215419501,1.3491461101,1.1207360379,1.1331058020,1.0676923077,1.5266180165,1.0022405826,1.0868011909,1.7174018420,1.2639771980,1.3064516129,0.9488009136,0.7876871880,0.7023885350,0.6177656962,0.8000374462,0.5382614019,1.0219780220,0.5112204119,0.7559274756,0.9522549761,0.8507273877,0.6960077478,0.6894197952,0.5942153846,1.0034693145,0.7459739532,0.6061528283,1.0009694619,0.7021486516,0.8125216788,0.6720593833,1.4085413200,1.3151273885,1.2285163101,1.4609623666,1.1164677074,1.7747252747,1.0568705810,1.3308054393,1.6618795666,1.4347881088,1.1562466373,1.2013651877,1.2364307692,1.6109582486,1.0990057415,1.2186569633,1.8448860882,1.3921289191,1.4346167187,1.0732775029
0,14.2607016372,7.5943286817,7.9512140719,5.0806952778,14.0562628202,3.2891572421,12.0318466302,9.6656379899,9.9598226708,20.9301118028,7.4612867523,17.1264228347,8.6005909453,14.4411130414,7.7372445605,3.7118871897,9.4098544150,19.7712376051,3.9631173119,8.0971962599,1.1494917983,1.3843597539,0.7303416138,0.8807625650,1.4898083095,1.1962898442,0.7496715757,0.9831359494,1.1040981810,0.9162658115,1.0384672509,0.9990579204,0.8820640310,1.1740732105,1.0299558967,1.3866779199,1.8159827505,1.0921711128,1.1810720552,1.2483091252,1.3023548355,1.4916212968,0.8416321139,0.9497833622,2.0638390147,1.2329205706,0.8986724746,1.1533591661,1.1663379356,1.1425262783,1.1706520125,1.0344033496,1.0275284987,1.2280251807,1.1429635145,1.4667921833,1.9640859780,1.2001392576,1.3080319239,1.3947222530,0.7658246956,1.0343632893,0.5641580743,0.7009532062,1.4813947437,1.0544281746,0.5390652009,0.6918081100,0.9029147491,0.7276857296,0.7408287539,0.6449057920,0.6292141644,0.8963394731,0.8947247838,1.2211906771,1.3408126137,0.7432438313,0.9306616856,0.9541523450,1.3577538493,1.6218624054,0.9369977617,1.0113951473,2.6017000607,1.2477988606,1.0107515730,1.1473012061,1.2006355468,1.2751202565,1.3121936730,1.2558618283,1.0710041232,1.2952203311,1.1690818489,1.4523144842,2.1487770366,1.3042778189,1.3687100243,1.4435081495
0,15.8220915054,13.3385410189,77.8124219098,58.1268581006,5.6278694249,27.7146827156,45.3131241002,19.5386293911,30.2511151493,67.9924024117,60.2778620674,54.5542259268,57.0429350973,37.8194679198,65.1367378527,38.6826017936,25.4406486809,17.7569613141,49.8392757179,24.6182102315,1.1167057353,1.0679730042,1.7964650649,1.1924500370,0.9305683955,1.2541772808,0.9282304844,1.1293068135,1.2326560377,2.0188826543,1.1037155790,1.2559564422,1.5588715095,1.1444566143,1.3831032413,1.1231799163,1.1816484884,1.2713962356,1.2229470357,1.1119312634,1.2125332083,1.1842818998,1.7185860260,1.3505428078,1.0417928528,1.3333621174,1.0303516770,1.2417277320,1.3591103451,1.9305196389,1.2681818182,1.3283480254,1.5887630746,1.2995010344,1.4507052821,1.2367456997,1.2602298514,1.3595913457,1.3392377750,1.1842218317,0.9172683232,0.8633391502,1.8541839271,0.9068591167,0.6747744589,1.0430465006,0.6663241936,0.9087205862,0.9680466704,2.0744571847,0.7996605055,1.0713544936,1.3561558392,0.9520506267,1.2042316927,0.9027615063,1.0012444184,1.0417422868,1.0010035878,0.9459871119,1.2488201281,1.2329331623,1.6708091687,1.4095114730,1.1104912493,1.3587280342,1.0998951176,1.2665331573,1.4285524877,1.8728470359,1.3423990947,1.3500450315,1.5997025238,1.3590726543,1.4603091236,1.2662761506,1.2808359564,1.4049633965,1.3905963821,1.1957820738
0,9.5479692901,17.0583893004,5.4093153730,8.2931367076,13.1836451384,15.6067805019,22.4864247936,9.3091015312,12.3623679683,15.1247453272,9.1409628402,17.5361091144,15.4489852621,16.0373211232,21.5025857072,13.5737049052,6.8920480951,14.5962663629,21.9819554098,2.7436165308,0.9114642994,0.9958295506,0.8843173794,0.6989403769,0.6693505480,0.9349226308,1.2749869633,0.8995702885,0.7875881582,0.8096124583,0.8782844432,0.5869688385,0.9761323241,0.8717628510,1.0058728490,0.9984333544,0.7978446830,0.7892013606,0.6177425822,0.8417807686,1.0845742650,1.1607183386,1.0420262848,0.8574387593,0.8025928422,1.0793707819,1.3692334434,1.0246286065,0.8900076976,0.9427914657,1.0400620974,0.7335565285,1.1162914420,1.0129251807,1.1202779986,1.1338218572,0.9167225763,0.9334067935,0.7321371291,0.9939707484,0.6713440244,0.7880730822,0.6810268733,0.4914322885,0.4717837761,0.7055095076,1.0264905267,0.5977900552,0.5598019431,0.5465729919,0.6347374763,0.5105845995,0.7354000919,0.6123382401,0.7705742056,0.7174226153,0.5668609527,0.5668327504,0.4438051323,0.6211685079,1.1891943490,1.3207841580,1.1434140840,0.9716692059,0.8944950874,1.2166337345,1.4775942986,1.1154818907,0.9783011214,1.0760999773,1.1342972334,0.8296677826,1.2547094528,1.0904606547,1.2074218449,1.2643082754,1.0448884602,1.0080007665,0.8028067362,1.0649408744
0,7.2389329324,17.5830540312,26.8936490528,42.4465059700,12.3127158429,50.6188844681,27.4146121679,40.6265351791,17.8928510206,14.9717238444,23.0609278608,25.8649468306,11.2854613281,35.4020165418,54.5527154893,43.5806333701,17.3051899217,8.7973354372,46.1258466400,33.1661748812,1.0781258572,1.2310897533,0.8709199110,0.9047638047,1.1529259674,0.8952572421,0.7960220625,0.8896880131,1.1634783840,0.9175663661,0.9924379915,0.9793070641,1.2568198072,0.7486271383,0.8289549416,0.8549650646,0.8022145762,1.2545809167,0.7758933216,1.4803035529,1.4083319617,1.4252562426,0.9526920071,0.9816868816,1.2088253038,1.0170885498,0.9590172154,1.0428243021,1.2708595091,0.9638184754,1.1336559790,1.2108340601,1.3490787726,0.9099252261,0.9741202105,1.0226974381,0.9586362215,1.6155109583,0.9622022918,1.5720593308,0.8066421609,1.2288086621,0.6402308293,0.6859439834,0.9438765836,0.6909439825,0.6132207922,0.7759605911,0.9560777929,0.7285659850,0.7592054850,0.7909299929,1.2205837278,0.5838837318,0.6865441539,0.6391276731,0.5900907100,1.1605245599,0.6338445534,1.2507071404,1.3471772645,1.3499194014,1.1002464584,1.1242419406,1.3971731449,1.0878735265,1.0498579308,1.1067651888,1.3765417898,1.1553410390,1.2243799153,1.2023111076,1.4172938732,0.9897543142,1.0408444335,1.1455007411,1.0675132937,1.5233536930,0.9791781599,1.6275267334
0,10.6715997365,1.3050442505,11.0079611080,5.8379091661,3.8048452050,7.9661492333,12.5775498164,13.9031363368,11.7059053568,6.8525506707,11.1787020224,12.5344523434,10.5017755113,14.8681862701,7.4713776195,5.3151628980,8.7130126661,10.5145354133,5.7703339424,8.3888628232,1.6125140292,1.5963049296,1.5815765672,1.3304973822,1.3746093750,1.7321691802,1.5666534286,1.8674760778,1.5208320880,1.8372606775,1.2184202111,1.3369234564,1.3780495115,1.6641402658,1.7737863081,1.5233566198,1.2551348866,1.6640238880,2.0399140863,1.4495047483,1.6006359895,1.5385478719,1.5588951506,1.2445680628,1.4467773438,1.8305930378,1.5810828700,1.8491614364,1.6356626218,1.7945508100,1.2041573393,1.2883334704,1.4900197806,1.6056793492,1.5220158062,1.4711724602,1.2006437768,1.5851523888,1.9392339359,1.4523639334,1.3204264871,1.6770266770,1.3507966326,1.4553010471,1.2842773437,1.6753600181,1.4740534816,1.6488321844,1.4130551737,2.0234167894,1.1675087944,1.3578064622,1.3686986753,1.4427264918,1.7634198912,1.5622422355,1.2559012876,1.5057660626,2.0155718633,1.3467783110,1.6874298541,1.4019684020,1.7420858554,1.2368455497,1.3055664063,1.6012019503,1.4845115171,1.7141681243,1.7169585749,1.7150957290,1.2517428846,1.1905779824,1.3972906552,1.6932949320,1.6408703685,1.3403753893,1.2904659718,1.5278006590,1.7832468230,1.2827529868
0,4.1445972000,10.3768823594,4.8500721644,1.4043925160,10.7833165934,6.2350860121,7.9965270239,7.9192724434,4.1625149384,4.4037883465,2.8917364883,8.6353922899,11.0028307147,2.2008038111,6.8136653501,6.1102520452,3.4103028149,7.1336126719,10.5024976775,1.4966629547,0.6322142588,0.8034926356,0.8397025903,0.8907813244,0.7357401609,0.5439145748,0.6859634250,0.8353777778,0.8684395384,1.0291680477,0.9227960752,0.5679436102,0.6981993737,0.8358913813,0.8005615787,0.6451538550,0.5759605217,0.8286294220,0.7248291981,0.7248291981,0.9477555639,0.8483624386,0.7652702271,0.7304668890,0.8730889667,0.7566948063,0.9218844617,0.7134222222,0.6643251380,1.0292785328,0.9513196927,0.7816120135,0.7541753653,0.7741046832,0.7611730754,0.9140255849,0.7328163553,0.8365551904,0.8157137720,0.0063291139,0.5121652207,0.5237710521,0.7779021426,0.6999761791,0.4800147357,0.3523788226,0.5660651568,0.6183111111,0.6165579528,0.7446690973,0.8037575112,0.4907753601,0.5782881002,0.6627312082,0.6833320334,0.5308286274,0.4354952415,0.7222114827,0.5045846818,0.5045846818,1.0295171633,0.7734758561,0.7890949792,0.7579799905,0.8727819734,0.8713590876,1.1028218481,0.7259555556,0.6897139990,1.0476190476,1.0210694455,0.9013178057,0.9166231733,0.7643644235,0.8851103658,1.1879681918,0.8441135002,0.7403827566,0.7994426465,0.0738966815
0,24.2893649779,18.2979082187,14.2054574342,18.7241179390,28.8303426786,14.8099453468,2.2587956842,18.0320291414,7.7387186728,25.7678398221,10.0845801144,20.7188927565,9.1298018188,13.7154748713,8.2070641997,19.5152627717,6.7888810750,13.1831965255,22.8448503652,12.5223568957,1.5765968496,1.5276849207,1.8917522879,2.0572013253,1.2129310345,1.9472796763,1.4375766726,1.9887879807,1.8128580522,1.3734117132,1.7400021216,1.3674716609,1.6604631927,1.9141667863,1.4345423143,1.2166525064,1.6197445633,1.9352444703,0.9128243890,1.6860939936,1.6351047256,1.6186105877,1.9791140307,2.1400311830,1.2654094828,1.9205260791,1.5213739738,2.0281421684,1.7078294080,1.4665546955,1.6429935292,1.5882700838,1.8543424318,1.8247452275,1.4670120898,1.2774608569,1.5921297894,2.0876746217,0.9508692366,1.7294528176,1.3590098667,1.3430985231,1.6307899613,1.7464431885,1.0034482759,1.7004271583,1.1825044824,2.1210898083,1.6101209421,1.0871184460,1.5486368940,1.0118284869,1.4560794045,1.9342615186,1.3281519862,0.9255977667,1.4863652054,1.5574796275,0.7734945830,1.4705620313,1.6719750736,1.6395186288,2.0520464881,2.2433248879,1.3419181034,1.9280575540,1.5875247712,1.9522928579,1.6820496499,1.5589674310,1.6301050175,1.7249383933,1.9604631927,1.7583608440,1.3454231434,1.3717684185,1.5487055575,2.1934662398,1.0118417737,1.7737768208
0,34.6626525328,23.7477936494,31.7377961839,53.5424846574,14.1180380372,22.0191501927,45.7314213578,51.0894361329,41.4165655570,43.3704412961,51.8293799102,51.8802534905,48.2426174546,30.4470275431,20.1515063371,29.7431888895,32.5580072760,21.9432520054,3.9494456981,49.3751667149,1.3907053034,0.7183723296,0.5921375921,0.7482943542,0.5381277065,0.5951013514,0.7584510170,0.5303423254,0.9257082260,0.9423295161,0.7763429260,0.6664205419,0.9194937599,0.6271256683,0.5865410982,0.7167112299,0.7012909884,0.5451601661,0.6262039257,0.7453942143,1.4990705303,0.6808748728,0.6670073710,0.8505064800,0.5981649317,0.7830236486,0.8394528821,0.6142886517,0.9838812301,1.0351181265,0.8037408383,0.7587173382,0.9217202789,0.6641616820,0.6421392033,0.8071301248,0.8083962925,0.5806638980,0.6896614784,0.7573090425,1.0878622198,0.4661648016,0.3967960688,0.5073812007,0.3293582873,0.4768581081,0.6521893596,0.3775594808,0.6626268747,0.4246569689,0.7190881112,0.6715590247,0.7700679674,0.4498128169,0.3486511786,0.5399286988,0.4971863073,0.4265094531,0.4659649693,0.6728546903,1.4660470202,0.7108443540,0.7108992629,0.8864144198,0.6582395690,0.7643581081,0.8246913580,0.6734676280,0.9691864869,1.0927473434,0.7538154012,0.7638558211,0.9219253530,0.7977316996,0.7227848221,0.8785650624,0.8268654101,0.7482792670,0.7183525013,0.7917595511
