,texture_contrast_nondir_post1,texture_contrast_nondir_post2,texture_contrast_nondir_post3,texture_contrast_nondir_post4,texture_correlation_nondir_post1,texture_correlation_nondir_post2,texture_correlation_nondir_post3,texture_correlation_nondir_post4,texture_diffentropy_nondir_post1,texture_diffentropy_nondir_post2,texture_diffentropy_nondir_post3,texture_diffentropy_nondir_post4,texture_diffvariance_nondir_post1,texture_diffvariance_nondir_post2,texture_diffvariance_nondir_post3,texture_diffvariance_nondir_post4,texture_energy_nondir_post1,texture_energy_nondir_post2,texture_energy_nondir_post3,texture_energy_nondir_post4,texture_entropy_nondir_post1,texture_entropy_nondir_post2,texture_entropy_nondir_post3,texture_entropy_nondir_post4,texture_inversediffmoment_nondir_post1,texture_inversediffmoment_nondir_post2,texture_inversediffmoment_nondir_post3,texture_inversediffmoment_nondir_post4,texture_sumaverage_nondir_post1,texture_sumaverage_nondir_post2,texture_sumaverage_nondir_post3,texture_sumaverage_nondir_post4,texture_sumentropy_nondir_post1,texture_sumentropy_nondir_post2,texture_sumentropy_nondir_post3,texture_sumentropy_nondir_post4,texture_sumvariance_nondir_post1,texture_sumvariance_nondir_post2,texture_sumvariance_nondir_post3,texture_sumvariance_nondir_post4,texture_variance_nondir_post1,texture_variance_nondir_post2,texture_variance_nondir_post3,texture_variance_nondir_post4
0,97.7614351461,113.5117873579,140.9658119658,143.0831220062,0.7243928180,0.7588332301,0.7690003533,0.7765228232,1.2496891318,1.2957556598,1.3392951995,1.3504250342,57.7157304921,63.9328354497,79.5406755212,78.5047572523,0.0041018058,0.0031576164,0.0024791853,0.0023056828,2.8068919229,2.9168062638,3.0044056627,3.0214434396,0.2201508367,0.1999926146,0.1815106426,0.1708513292,128.3475157321,148.7731755424,148.1811777966,148.1510284587,1.8237577018,1.9062578903,1.9574446021,1.9601376076,606.0873665625,820.3673540842,1067.8987046145,1127.4683146650,171.1104223059,230.3138698006,298.6897441552,314.6743184719
0,32.8895005097,73.7942915392,85.2464831804,95.1221202854,0.0693974620,0.0910062770,0.0989429482,0.0931179418,1.0596218136,1.2307164525,1.2731134320,1.2995434882,17.4151816210,38.1968296720,41.5437364565,45.1901051684,0.0105747012,0.0050662485,0.0038201465,0.0033683410,2.2124658235,2.5232798886,2.6077379935,2.6677028256,0.2685454542,0.2005562873,0.1835782204,0.1666035211,153.0566768603,167.8595310907,169.4581039755,182.3033639144,1.3389958824,1.5150103332,1.5647286910,1.5955811054,37.7896521576,88.5659973336,103.9652681686,114.6541477055,17.4157379196,40.1259430089,47.3489264839,52.3763678703
0,344.9828677046,444.5484467193,547.6440072510,620.1189130589,0.1984992193,0.1942414798,0.1905871767,0.1740781077,1.4613510353,1.5180792655,1.5846701021,1.6247146201,227.1136962573,286.3186239498,340.0639617011,375.1336621858,0.0021038481,0.0016957464,0.0011471602,0.0009137801,3.0223090476,3.1129190987,3.2446903814,3.3273501126,0.1550735357,0.1424069369,0.1218620281,0.1117424537,159.7094974053,185.8666382313,181.8022144025,183.4923402289,1.7977033654,1.8490216213,1.9132163719,1.9526761352,515.8441644378,658.8561749713,805.5064307259,881.4641661093,216.2377869831,277.5391470868,340.3485167211,377.7396841598
0,50.6938248491,80.6189676878,93.0930630427,118.7872752510,0.5143383694,0.5693951711,0.5989317270,0.6147326046,1.1338990068,1.2337405638,1.2754884545,1.3318026543,28.5799383475,44.5767331574,49.4697223021,61.3865611354,0.0048196879,0.0028264326,0.0021522542,0.0016274852,2.5960468999,2.8366587506,2.9389998456,3.0709171978,0.2440553198,0.2038068654,0.1898893272,0.1678713902,166.7666483747,170.0621388683,180.0230478711,175.6942767681,1.5943789102,1.7434771707,1.8112882098,1.8835397096,157.9001291553,293.2294581064,370.1957307796,496.3426674609,52.0683647083,93.4848298873,116.2474375865,154.1438874256
0,84.4520554872,200.1412631260,262.4132717558,268.4343407103,0.2121362053,0.2335213421,0.2362758858,0.2409109125,1.2521977256,1.4339252955,1.4959176481,1.5089063179,45.3166756153,106.2872999102,136.7881257019,135.0540135150,0.0033251383,0.0015106842,0.0011359802,0.0010220143,2.7333231126,3.0813267586,3.1979553290,3.2294619360,0.1908765859,0.1347234886,0.1204666807,0.1154373174,143.2418884525,162.3239393888,182.5167624602,218.4099007231,1.5984518099,1.7878169101,1.8525962473,1.8673172848,129.9267754187,322.0762057154,424.7727347458,438.8104404982,54.1676502782,131.9086463509,172.8995006279,177.9827931885
0,300.0649561375,435.1480377284,469.2949013917,436.9924279401,0.3046387688,0.3093274451,0.3208310364,0.3352450250,1.3905122502,1.4986370498,1.5419435162,1.5468677359,210.8988465379,292.1981839251,300.6284613283,268.5181578758,0.0023047191,0.0014525818,0.0012244538,0.0011577094,2.9678517126,3.1752056158,3.2507194043,3.2822069293,0.1684668553,0.1387000467,0.1277541834,0.1265229237,138.7565991689,148.4427280522,177.3222082976,187.9646593233,1.7733493804,1.8836097451,1.9266830034,1.9432061628,562.9394632447,824.8322221996,912.5851205373,877.6641688850,214.7283212384,313.6077933209,343.9606585337,327.0376969677
0,205.8741515378,241.9889253353,242.3870611542,217.3287648988,0.5061687527,0.4981057474,0.4877909817,0.4832452922,1.4142710670,1.4663885385,1.4762842784,1.4615656816,118.2431253700,131.5796167477,127.2356422647,110.4043932987,0.0016355410,0.0012223484,0.0010100806,0.0010163122,3.1100980811,3.2189218749,3.2649994167,3.2503997511,0.1556052829,0.1344356857,0.1283317597,0.1288602275,136.9276411939,146.8774317171,173.7735701991,183.5624695528,1.8802510879,1.9344265128,1.9551101172,1.9394306973,627.0483837673,721.1074478679,702.8155412760,622.4210837522,209.2117252386,242.9771011234,238.1954195298,211.7994798784
0,41.8492166333,73.5530686771,78.4997055012,73.1896572034,0.3773816145,0.3898275946,0.4099276484,0.4585423660,1.0634779455,1.1641452158,1.1781013623,1.1458778594,25.7661783203,46.2340062679,49.6450018589,47.6019577614,0.0100565309,0.0066823500,0.0066441613,0.0067768783,2.3201675294,2.5145328504,2.5112383732,2.4786092225,0.2941838628,0.2506878544,0.2498933094,0.2590427959,280.5760395806,231.3674166569,235.4962893156,239.8238897397,1.4399701964,1.5684631038,1.5668751669,1.5558399066,92.5095024680,167.4603636998,187.4875878329,197.0742979339,33.9059977988,60.8039603780,66.7928930805,68.1868855222
0,126.0818619065,111.4929791149,151.4518544821,128.3900384131,0.7166330830,0.7303573344,0.7256465893,0.7216924626,1.2272615128,1.2305387235,1.3182686618,1.2961809877,85.8825207303,72.6318675743,94.1753112882,77.6788500128,0.0069338229,0.0063188818,0.0038848214,0.0040182299,2.6748586480,2.7081097254,2.9044540519,2.8804257967,0.2517412872,0.2505685696,0.2050240044,0.2091880232,145.2058491236,171.2651473579,162.8116788792,177.9450918364,1.6881326638,1.7074863333,1.8104392796,1.7952267891,763.6108428335,715.0956480068,952.1125063618,793.7615029928,220.4326701662,204.5926247160,272.8521611884,227.6470841886
0,77.4906282906,116.9389259389,122.7438399438,122.5246753247,0.2101911370,0.2333759624,0.2455303366,0.2646216098,1.2579931605,1.3409964413,1.3510314189,1.3470808258,36.8167677340,55.5952271098,58.1279744126,59.0492540891,0.0023427111,0.0015476368,0.0014398850,0.0014134189,2.8272630964,2.9996365740,3.0268993699,3.0214207875,0.1747914540,0.1420091042,0.1361864883,0.1380191907,197.7832221832,206.5557739558,212.3225693226,223.2500526501,1.6398681938,1.7356525021,1.7544329801,1.7574394590,118.6207504459,187.8047692237,202.2824706187,210.3249078596,48.0777823246,74.6021309245,79.4523118418,81.3845826404
